,Abutilon grandifolium,Adesmia bicolor,Aloysia gratissima,Aloysia sp1,Amaranthus lividus,Anoda cristata,Anredera cordifolia,Arctium minus,Aspidosperma quebracho blanco,Asteraceae sp1,Baccharis salicifolia,Bidens pilosa,Bromus unioloides,Caesalpinia gilliesii,Capsicum chacoense,Carduus nutans,Celtis ehrenbergiana,Celtis iguanaea,Cestrum parqui,Chaptalia nutans,Chenopodium album,Clematis montevidensis,Condalia buxifolia,Condalia microphylla,Condalia montana,Conyza bonariensis,Conyza sp1,Croton lachnostachyus,Desmodium uncinatum,Dicliptera squarrosa,Dolichandra cynanchoides,Eupatorium argentinum,Eupatorium arnottianum,Eupatorium hookerianum,Eupatorium inulifolium,Eupatorium sp1,Fabaceae sp2,Hydrocotyle bonariensis,Hyptis mutabilis,Ipomoea cairica,Ipomoea purpurea,Ipomoea rubriflora,Ipomoea nil,Iresine diffusa,Janusia guaranitica,Jodina rhombifolia,Lantana balansae,Lantana camara,Lantana grisebachii,Leonurus japonicus,Lepechinia floribunda,Lippia turbinata,Lycium cestroides,Lycium cilliatum,Malvastrum coromandelianum,Malvastrum interruptum,Mandevilla laxa,Mandevilla pentladiana,Mikania cordifolia,Minthostachys verticillata,Modiolastrum malvifolium,Morrenia odorata,Ophryosporus axilliflorus,Passiflora caerulea,Passiflora morifolia,Philibertia gilliesii,Pseudabutilon virgatum,Rhynchosia edulis,Rivina humilis,Salpichroa origanifolia,Schinus fasciculatus,Schinus longifolius,Setaria hunzikerii,Sida dictyocarpa,Sida rhombifolia,Sida spinosa,Solanum argentinum,Solanum chenopodioides,Solanum pseudocapsicum,Solanum sp1,Sonchus oleraceus,Sphaeralcea cordobensis,Talinum paniculatum,Trifolium repens,Trixis divaricata,Verbena litoralis,Zinnia peruviana
Haplopeodes Steyskal sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Haplopeodes Steyskal sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Haplopeodes Steyskal sp3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haplopeodes Steyskal sp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliodinidae  sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliozelidae sp1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliozelidae sp2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Heterispa costipennis (Boheman),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Hispinae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucospilapteryx Spuler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
