,Hydriastele microspadix,Arctocarpus camansi,Ficus botryocarpa,Breynia cernua,Casearia erythrocarpa,Ficus conocephalifolia,Ficus copiosa,Ficus dammaropsis,Dracaena angustifolia,Endospermum labios,Eupomatia laurina,Gardenia hansemannii,Homalanthus novoguineensis,Macaranga densiflora,Macaranga brachytricha,Mallotus mollissimus,Macaranga ducis,Macaranga quadriglandulosa,Melanolepis multiglandulosa,Ficus nodosa,Osmoxylon sessiliflorum,Pavetta platyclada,Ficus phaeosyce,Pimelodendron amboinicum,Premna obtusifolia,Psychotria leptothyrsa,Psychotria micralabastra,Psychotria micrococca,Pterocarpus indicus,Ficus pungens,Ficus septica,Kibara coriacea,Sterculia schumanniana,Tabernaemontana aurantiaca,Timonius timon,Ficus trachypison,Ficus variegata,Ficus wassa
BUPR004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CATM028,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CERA002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CERA003,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CERA004,0,0,2,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,2,4
CERA005,0,2,3,0,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,6,2,0,2,0,0,5,4,3
CERA006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
CERA007,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERA010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
CERA012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
