,Achillea millefolium,Aegopodium podagraria,Allium scorodoprasum,Angelica sylvestris,Calystegia sepium,Cerastium glomeratum,Chaerophyllum temulentum,Chrysanthemum maximum,Cirsium arvense,Cirsium vulgare,Daucus carota,Echium vulgare,Epilobium montanum,Eupatorium cannabinum,Geranium robertianum,Hypericum perforatum,Juncus effusus,Lapsana communis,Lychnis flos-cuculi,Malva sylvestris,Matricaria chamomilla,Melilotus albus,Myosotis palustris,Prunella vulgaris,Ranunculus repens,Senecio jacobaea,Silene dioica,Sonchus arvensis,Sonchus palustris,Stachys palustris,Stachys sylvatica,Tanacetum vulgare,Trifolium dubium,Trifolium repens,Tripleurospermum inodorum,Verbascum thapsus,Veronica agrestis,Vicia hirsuta,Vicia sepium
Cheilosia albitarsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheilosia impressa ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheilosia velutina ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chrysogaster cemiteriorum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chrysomela fastuosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Corticarina gibbosa ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Enicmus transversus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eoseristalis arbustorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Eoseristalis horticola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eristalinus sepulchralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
