,Bejaria aestuans,Bonnetia sessilis,Borreria capitata,Brocchinia acuminata,Calea lucidivenia,Catasetum discolor,Chromolaena sp1 M_PL_031,Cleistes stricta,Clusia grandiflora,Clusia pusilla,Cybianthus quelchii,Cyrilla racemiflora,Declieuxia fruticosa,Digomphia laurifolia,Epidendrum ibaguense,Epistephium duckei,Eriopsis biloba,Galactophora schomburgkiana,Heliamphora heterodoxa,Humiria balsamifera,Ilex retusa,Irlbachia nemorosa,Lepidaploa bolivarensis,Macairea pachyphylla,Macairea parvifolia,Mandevilla benthamii,Marcetia taxifolia,Meriania sclerophylla,Miconia ciliata,Mikania psilostachya,Notopora schomburgkii,Pagameopsis garryoides,Passovia stelis,Philodendron callosum subsp  ptarianum,Poecilandra retusa,Remijia densiflora,Sauvagesia angustifolia,Sipanea galioides,Siphanthera cordifolia,Sobralia liliastrum,Stegolepis angustata,Ternstroemia crassifolia,Tibouchina fraterna,Tococa nitens,Vaccinium euryanthum,Vaccinium puberulum,Vismia lauriformis,Xyris setigera
Eristalis sp1 M_PL_031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hylaeus sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Melipona compresipes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Montezumia azurescens,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oxybelus sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pepsis sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pereirapsis sp1 M_PL_031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polistes vibex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pyrrhogige sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Sarcodexia innota,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sticia sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tachites sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vehilius inca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Volucella sp1 M_PL_031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zonotrichia capensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
