,achillea_millefolium,aciphylla_glacialis,aciphylla_simplicifolia,asperula_gunnii,baeckea_gunniana,brachyscome_scapiformis,brachyscome_scapigera,brachyscome_sp1m_pl_019,brachyscome_stolonifera,celmisia_asteliifolia,craspedia_sp1m_pl_019,epacris_microphylla,epacris_petrophila,epilobium_gunnianum,euphrasia_collina,gentianella_diemensis,helichrysum_alpinum,helichrysum_scorpioides,hypochaeris_radicata,kunzea_muelleri,leptorhynchos_squamatus,leucochrysum_albicans,acrothamnus_montanus,microseris_lanceolata,nematolepis_ovatifolia,montia_australasica,olearia_phlogopappa,orites_lancifolia,oxylobium_ellipticum,pentachondra_pumila,pimelea_ligustrina,prasophyllum_alpinum,prostanthera_cuneata,richea_continentis,senecio_gunnii,senecio_lautus,senecio_pectinatus,stackhousia_pulvinaris,stylidium_graminifolium,wahlenbergia_ceracea,
Leioproctus sp3 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Leioproctus sp5 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Limnophora sp1 M_PL_019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Megachile sp1 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Phytoliriomyza sp1 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Prohardya carinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Rutilia sp1 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Scaptia alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sphenella marginata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Syrphus sp1 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Tapeigaster nigricornis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp2 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp3 M_PL_019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp4 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Unientified sp4 M_PL_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
