,amomyrtus_luma,amomyrtus_meli,anagallis_alternifolia,asteranthera_ovata,berberis_buxifolia,berberis_darwinii,caldcluvia_paniculata,embothrium_coccineum,eucryphia_cordifolia,gaultheria_mucronata,gaultheria_phillyreifolia,gevuina_avellana,hydrangea_serratifolia,eugenia_apiculata,luzuriaga_polyphylla,luzuriaga_radicans,mitraria_coccinea,myrceugenia_ovata,myrceugenia_parvifolia,myrceugenia_planipes,myrteola_nummularia,ovidia_andina,rhaphithamnus_spinosus,tepualia_stipularis,ugni_candollei,ugni_molinae,
Platynocera gracilipes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Protosialis chilensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scaptia horrens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Schizochelus serratus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trichophthalma commutata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trichophthalma herbsti,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tropidia sp1 M_PL_034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp1 M_PL_034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp10 M_PL_034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp11 M_PL_034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp13 M_PL_034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp15 M_PL_034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp19 M_PL_034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp2 M_PL_034,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
