,bejaria_aestuans,bonnetia_sessilis,spermacoce_capitata,brocchinia_acuminata,calea_lucidivenia,catasetum_discolor,chromolaena_sp177,cleistes_stricta,clusia_grandiflora,clusia_pusilla,cybianthus_quelchii,cyrilla_racemiflora,declieuxia_fruticosa,digomphia_laurifolia,epidendrum_ibaguense,epistephium_duckei,eriopsis_biloba,galactophora_schomburgkiana,heliamphora_heterodoxa,humiria_balsamifera,ilex_retusa,irlbachia_nemorosa,lepidaploa_bolivarensis,macairea_pachyphylla,macairea_parvifolia,mandevilla_benthamii,macairea_taxifolia,meriania_sclerophylla,miconia_ciliata,mikania_psilostachya,notopora_schomburgkii,pagameopsis_garryoides,passovia_stelis,philodendron_callosum,ochnaceae_retusa,remijia_densiflora,sauvagesia_angustifolia,sipanea_galioides,siphanthera_cordifolia,sobralia_liliastrum,stegolepis_angustata,ternstroemia_crassifolia,tibouchina_fraterna,tococa_nitens,vaccinium_euryanthum,vaccinium_puberulum,vismia_lauriformis,xyris_setigera,
Eristalis sp1 M_PL_031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hylaeus sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Melipona compresipes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Montezumia azurescens,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oxybelus sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pepsis sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pereirapsis sp1 M_PL_031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polistes vibex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pyrrhogige sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Sarcodexia innota,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sticia sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tachites sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vehilius inca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Volucella sp1 M_PL_031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zonotrichia capensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
