,byrsonima_spicata,calliandra_tergemina,centrosema_virginianum,chamaecrista_glandulosa,coccoloba_sp19,cordia_martinicensis,cordia_sp211,cornutia_pyramidata,croton_flavens,daphnopsis_americana,desmodium_adscendens,gonzalagunia_hirsuta,guettarda_scabra,ipomoea_batatas,lantana_camara,lantana_involucrata,ludwigia_octovalvis,miconia_striata,mimosa_casta,odontonema_nitidum,oxalis_barrelieri,oxalis_frutescens,palicourea_crocea,sida_rhombifolia,spermacoce_remota,stigmaphyllon_diversifolium,tetrazygia_angustifolia,genus1_sp149,vernonia_sp184,wedelia_calycina,sphagneticola_trilobata,
Cyanophaia bicolor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Loxigilla noctis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp17 M_PL_041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp19 M_PL_041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Unidentified sp9 M_PL_041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Anartia jatrophae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Anolis oculatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hemiargus hanno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pyrgus oileus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Unidentified sp11 M_PL_041,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp12 M_PL_041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp15 M_PL_041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
